RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  105  110     0     0  con    0  1.0D+00  1.0D+01  1.630D+01 -6.888D+00
  106  111     0     0  con    0  1.0D+00  3.7D+00  4.402D+00 -1.052D+01
  107  112     0     0  con    0  1.0D+00  6.7D+00  1.064D+01 -1.266D+01
  108  113     0     0  con    0  1.0D+00  1.3D+00  7.015D+00 -1.617D+01
  109  114     0     0  con    0  1.0D+00  7.6D+00  1.042D+01 -1.972D+01
  110  115     0     0  con    0  1.0D+00  1.1D+00  3.592D+00 -2.309D+01
  111  116     0     0  con    0  1.0D+00  1.8D+00  1.201D+01 -2.861D+01
  112  117     0     0  con    0  1.0D+00  2.2D+00  1.028D+01 -3.445D+01
  113  118     0     0  con    0  1.0D+00  8.6D+00  2.417D+01 -3.600D+01
  114  119     0     0  con    0  1.0D+00  1.2D+00  3.157D+00 -4.413D+01
  115  120     0     0  con    0  1.0D+00  2.5D-01  4.698D+00 -4.707D+01
  116  121     0     0  con    0  1.0D+00  1.7D+00  8.318D+00 -5.072D+01
  117  122     0     0  con    0  1.0D+00  6.8D-01  1.741D+01 -5.490D+01
  118  123     0     0  con    0  1.0D+00  1.8D+00  4.838D+00 -5.987D+01
  119  124     0     0  con    0  1.0D+00  7.8D-01  4.108D+00 -6.372D+01
  120  125     0     0  con    0  1.0D+00  1.7D+00  6.820D+00 -6.927D+01
  121  126     0     0  con    0  1.0D+00  2.6D+00  1.967D+01 -7.177D+01
  122  127     0     0  con    0  1.0D+00  1.8D-01  6.150D+00 -7.734D+01
  123  128     0     0  con    0  1.0D+00  8.2D-01  3.851D+00 -8.119D+01
  124  129     0     0  con    0  1.0D+00  1.3D+00  5.469D+00 -8.446D+01
  125  130     0     0  con    0  1.0D+00  2.7D+00  2.037D+01 -8.942D+01
  126  131     0     0  con    0  1.0D+00  2.6D+00  6.866D+00 -9.478D+01
  127  132     0     0  con    0  1.0D+00  5.1D-01  2.747D+00 -9.796D+01
  128  133     0     0  con    0  1.0D+00  1.1D+00  4.305D+00 -1.025D+02
  129  134     0     0  con    0  1.0D+00  1.9D+00  1.117D+01 -1.058D+02
