RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         1926     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  193  195     0     0  con    0  1.0D+00  1.3D-02  5.771D+00  1.989D+05
  194  196     0     0  con    0  1.0D+00  8.6D-03  3.909D+00  1.989D+05
  195  197     0     0  con    0  1.0D+00  1.3D-02  6.022D+00  1.989D+05
  196  198     0     0  con    0  1.0D+00  2.4D-02  1.691D+01  1.989D+05
  197  199     0     0  con    0  1.0D+00  1.3D-02  6.334D+00  1.989D+05
  198  200     0     0  con    0  1.0D+00  4.1D-03  4.326D+00  1.989D+05
  199  201     0     0  con    0  1.0D+00  7.1D-03  3.786D+00  1.989D+05
  200  202     0     0  con    0  1.0D+00  1.5D-02  1.110D+01  1.989D+05
  201  203     0     0  con    0  1.0D+00  1.0D-02  4.047D+00  1.989D+05
  202  204     0     0  con    0  1.0D+00  4.3D-03  3.308D+00  1.989D+05
  203  205     0     0  con    0  1.0D+00  9.1D-03  5.862D+00  1.989D+05
  204  206     0     0  con    0  1.0D+00  1.5D-02  1.878D+01  1.989D+05
  205  207     0     0  con    0  1.0D+00  7.5D-04  3.754D+00  1.989D+05
  206  208     0     0  con    0  1.0D+00  3.5D-03  3.237D+00  1.989D+05
  207  209     0     0  con    0  1.0D+00  7.7D-03  6.421D+00  1.989D+05
  208  210     0     0  con    0  1.0D+00  1.4D-02  7.327D+00  1.989D+05
  209  211     0     0  con    0  1.0D+00  2.8D-02  2.148D+01  1.989D+05
  210  212     0     0  con    0  1.0D+00  2.5D-03  4.267D+00  1.989D+05
  211  213     0     0  con    0  1.0D+00  1.4D-03  4.549D+00  1.989D+05
