RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  115  120     0     0  con    0  1.0D+00  2.8D+00  5.858D+00 -6.878D+01
  116  121     0     0  con    0  1.0D+00  2.5D+00  4.599D+00 -7.233D+01
  117  122     0     0  con    0  1.0D+00  6.1D-01  2.316D+00 -7.711D+01
  118  123     0     0  con    0  1.0D+00  1.2D+00  2.098D+00 -8.295D+01
  119  124     0     0  con    0  1.0D+00  1.0D+00  3.756D+00 -8.706D+01
  120  125     0     0  con    0  1.0D+00  2.3D+00  7.230D+00 -9.139D+01
  121  126     0     0  con    0  1.0D+00  4.9D-01  1.583D+00 -9.630D+01
  122  127     0     0  con    0  1.0D+00  9.4D-01  2.467D+00 -9.992D+01
  123  128     0     0  con    0  1.0D+00  1.5D+00  3.141D+00 -1.043D+02
  124  129     0     0  con    0  1.0D+00  4.0D+00  9.141D+00 -1.072D+02
  125  130     0     0  con    0  1.0D+00  6.2D-01  2.120D+00 -1.162D+02
  126  131     0     0  con    0  1.0D+00  7.2D-01  1.290D+00 -1.202D+02
  127  132     0     0  con    0  1.0D+00  1.2D+00  1.713D+00 -1.235D+02
  128  133     0     0  con    0  1.0D+00  1.9D+00  2.741D+00 -1.296D+02
  129  134     0     0  con    0  1.0D+00  4.1D+00  6.088D+00 -1.340D+02
  130  135     0     0  con    0  1.0D+00  2.3D-01  1.700D+00 -1.393D+02
  131  136     0     0  con    0  1.0D+00  2.2D-01  2.067D+00 -1.420D+02
  132  137     0     0  con    0  1.0D+00  8.9D-01  4.234D+00 -1.454D+02
  133  138     0     0  con    0  1.0D+00  2.4D+00  9.170D+00 -1.469D+02
  134  139     0     0  con    0  1.0D+00  1.0D-01  1.362D+00 -1.509D+02
  135  140     0     0  con    0  1.0D+00  5.1D-01  1.320D+00 -1.527D+02
  136  141     0     0  con    0  1.0D+00  9.4D-01  2.360D+00 -1.545D+02
  137  142     0     0  con    0  1.0D+00  1.5D+00  4.745D+00 -1.568D+02
  138  143     0     0  con    0  1.0D+00  1.3D+00  2.485D+00 -1.591D+02
  139  144     0     0  con    0  1.0D+00  1.4D-01  8.587D-01 -1.603D+02
  140  145     0     0  con    0  1.0D+00  4.7D-01  1.373D+00 -1.626D+02
  141  146     0     0  con    0  1.0D+00  8.5D-01  5.781D+00 -1.630D+02
  142  147     0     0  con    0  1.0D+00  7.0D-02  1.745D+00 -1.652D+02
  143  148     0     0  con    0  1.0D+00  2.5D-01  8.545D-01 -1.662D+02
  144  149     0     0  con    0  1.0D+00  4.6D-01  1.296D+00 -1.672D+02
  145  150     0     0  con    0  1.0D+00  6.4D-01  1.423D+00 -1.686D+02
  146  152     0     0  con    1  4.3D-01  5.2D-01  3.312D+00 -1.694D+02
  147  153     0     0  con    0  1.0D+00  3.1D-01  7.788D-01 -1.702D+02
  148  154     0     0  con    0  1.0D+00  2.1D-01  7.617D-01 -1.708D+02
  149  155     0     0  con    0  1.0D+00  4.2D-01  2.004D+00 -1.718D+02
  150  157     0     0  con    1  5.2D-01  2.8D-01  3.255D+00 -1.725D+02
  151  158     0     0  con    0  1.0D+00  2.2D-01  1.593D+00 -1.733D+02
  152  159     0     0  con    0  1.0D+00  3.1D-01  6.509D-01 -1.742D+02
  153  160     0     0  con    0  1.0D+00  2.3D-01  1.095D+00 -1.748D+02
  154  161     0     0  con    0  1.0D+00  3.1D-01  1.180D+00 -1.755D+02
  155  162     0     0  con    0  1.0D+00  3.5D-01  8.492D-01 -1.764D+02
  156  163     0     0  con    0  1.0D+00  6.1D-01  1.815D+00 -1.772D+02
  157  164     0     0  con    0  1.0D+00  2.3D-01  9.655D-01 -1.781D+02
  158  165     0     0  con    0  1.0D+00  2.6D-01  1.045D+00 -1.789D+02
  159  166     0     0  con    0  1.0D+00  5.1D-01  2.688D+00 -1.799D+02
  160  167     0     0  con    0  1.0D+00  8.1D-01  2.214D+00 -1.806D+02
  161  168     0     0  con    0  1.0D+00  1.2D-01  7.796D-01 -1.813D+02
  162  169     0     0  con    0  1.0D+00  2.8D-01  6.111D-01 -1.820D+02
  163  170     0     0  con    0  1.0D+00  4.0D-01  1.753D+00 -1.825D+02
  164  171     0     0  con    0  1.0D+00  1.0D+00  4.151D+00 -1.832D+02
  165  172     0     0  con    0  1.0D+00  2.3D-01  6.576D-01 -1.842D+02
  166  173     0     0  con    0  1.0D+00  2.1D-01  1.480D+00 -1.849D+02
  167  174     0     0  con    0  1.0D+00  4.4D-01  2.271D+00 -1.859D+02
  168  175     0     0  con    0  1.0D+00  9.9D-01  3.931D+00 -1.868D+02
  169  176     0     0  con    0  1.0D+00  5.7D-01  1.087D+00 -1.881D+02
  170  177     0     0  con    0  1.0D+00  2.3D-01  8.150D-01 -1.886D+02
  171  178     0     0  con    0  1.0D+00  4.3D-01  9.107D-01 -1.893D+02
  172  179     0     0  con    0  1.0D+00  7.5D-01  1.678D+00 -1.903D+02
  173  180     0     0  con    0  1.0D+00  1.3D+00  3.147D+00 -1.912D+02
  174  181     0     0  con    0  1.0D+00  1.5D-01  6.866D-01 -1.921D+02
  175  182     0     0  con    0  1.0D+00  2.7D-01  1.435D+00 -1.930D+02
  176  183     0     0  con    0  1.0D+00  5.1D-01  2.002D+00 -1.938D+02
  177  185     0     0  con    1  4.4D-01  6.2D-01  1.219D+00 -1.943D+02
  178  186     0     0  con    0  1.0D+00  6.5D-01  5.770D-01 -1.951D+02
  179  187     0     0  con    0  1.0D+00  3.5D-01  4.586D-01 -1.955D+02
  180  188     0     0  con    0  1.0D+00  5.3D-01  1.103D+00 -1.960D+02
  181  189     0     0  con    0  1.0D+00  5.1D-01  1.085D+00 -1.964D+02
  182  190     0     0  con    0  1.0D+00  1.3D-01  5.506D-01 -1.968D+02
  183  191     0     0  con    0  1.0D+00  2.9D-01  7.884D-01 -1.974D+02
  184  192     0     0  con    0  1.0D+00  2.6D-01  1.289D+00 -1.978D+02
  185  193     0     0  con    0  1.0D+00  3.2D-01  6.788D-01 -1.982D+02
  186  194     0     0  con    0  1.0D+00  6.5D-01  1.766D+00 -1.985D+02
  187  195     0     0  con    0  1.0D+00  7.5D-02  3.928D-01 -1.989D+02
  188  196     0     0  con    0  1.0D+00  4.0D-02  5.680D-01 -1.991D+02
  189  197     0     0  con    0  1.0D+00  2.6D-01  8.517D-01 -1.994D+02
  190  199     0     0  con    1  5.1D-01  2.6D-01  8.040D-01 -1.996D+02
  191  200     0     0  con    0  1.0D+00  2.9D-01  4.412D-01 -1.998D+02
  192  201     0     0  con    0  1.0D+00  4.1D-01  3.778D-01 -2.001D+02
  193  202     0     0  con    0  1.0D+00  3.5D-01  1.120D+00 -2.003D+02
  194  203     0     0  con    0  1.0D+00  7.5D-02  3.482D-01 -2.004D+02
  195  204     0     0  con    0  1.0D+00  5.5D-02  3.598D-01 -2.006D+02
  196  205     0     0  con    0  1.0D+00  1.1D-01  7.725D-01 -2.008D+02
  197  206     0     0  con    0  1.0D+00  3.1D-01  1.725D+00 -2.011D+02
  198  207     0     0  con    0  1.0D+00  3.9D-01  1.029D+00 -2.015D+02
  199  208     0     0  con    0  1.0D+00  1.9D-01  5.140D-01 -2.018D+02
  200  209     0     0  con    0  1.0D+00  3.5D-01  8.273D-01 -2.021D+02
  201  210     0     0  con    0  1.0D+00  2.5D-01  1.112D+00 -2.023D+02
  202  211     0     0  con    0  1.0D+00  7.1D-02  8.229D-01 -2.025D+02
  203  212     0     0  con    0  1.0D+00  6.9D-01  5.818D-01 -2.032D+02
  204  213     0     0  con    0  1.0D+00  4.7D-01  2.174D+00 -2.034D+02
  205  214     0     0  con    0  1.0D+00  1.6D-01  1.146D+00 -2.037D+02
  206  215     0     0  con    0  1.0D+00  7.2D-01  9.137D-01 -2.044D+02
  207  216     0     0  con    0  1.0D+00  5.0D-01  9.841D-01 -2.047D+02
  208  217     0     0  con    0  1.0D+00  2.0D+00  5.143D+00 -2.052D+02
  209  218     0     0  con    0  1.0D+00  5.4D-01  1.414D+00 -2.063D+02
  210  219     0     0  con    0  1.0D+00  6.9D-02  5.501D-01 -2.066D+02
  211  220     0     0  con    0  1.0D+00  3.4D-01  1.075D+00 -2.070D+02
  212  221     0     0  con    0  1.0D+00  4.9D-01  1.333D+00 -2.077D+02
  213  222     0     0  con    0  1.0D+00  1.7D+00  4.788D+00 -2.084D+02
  214  223     0     0  con    0  1.0D+00  3.8D-01  1.591D+00 -2.095D+02
  215  224     0     0  con    0  1.0D+00  4.6D-01  1.056D+00 -2.102D+02
  216  225     0     0  con    0  1.0D+00  7.3D-01  1.735D+00 -2.108D+02
  217  226     0     0  con    0  1.0D+00  1.7D+00  3.616D+00 -2.118D+02
  218  227     0     0  con    0  1.0D+00  1.3D+00  1.383D+00 -2.129D+02
  219  228     0     0  con    0  1.0D+00  1.0D+00  8.153D-01 -2.138D+02
  220  229     0     0  con    0  1.0D+00  1.2D+00  1.542D+00 -2.147D+02
  221  230     0     0  con    0  1.0D+00  1.8D+00  2.772D+00 -2.155D+02
  222  231     0     0  con    0  1.0D+00  4.3D-01  9.350D-01 -2.164D+02
  223  232     0     0  con    0  1.0D+00  1.0D+00  1.272D+00 -2.178D+02
  224  233     0     0  con    0  1.0D+00  1.3D+00  2.796D+00 -2.190D+02
  225  234     0     0  con    0  1.0D+00  4.9D+00  6.335D+00 -2.202D+02
  226  235     0     0  con    0  1.0D+00  7.9D-01  1.411D+00 -2.232D+02
  227  236     0     0  con    0  1.0D+00  9.7D-01  1.725D+00 -2.247D+02
  228  237     0     0  con    0  1.0D+00  2.1D+00  2.122D+00 -2.264D+02
  229  238     0     0  con    0  1.0D+00  3.7D+00  1.877D+00 -2.293D+02
  230  239     0     0  con    0  1.0D+00  7.1D+00  5.350D+00 -2.326D+02
  231  240     0     0  con    0  1.0D+00  1.9D+00  1.494D+00 -2.360D+02
  232  241     0     0  con    0  1.0D+00  2.7D+00  4.515D+00 -2.405D+02
  233  242     0     0  con    0  1.0D+00  4.3D+00  4.455D+00 -2.447D+02
  234  243     0     0  con    0  1.0D+00  7.0D+00  8.027D+00 -2.490D+02
  235  244     0     0  con    0  1.0D+00  2.9D-01  1.878D+00 -2.545D+02
  236  245     0     0  con    0  1.0D+00  8.3D-01  2.605D+00 -2.598D+02
  237  246     0     0  con    0  1.0D+00  2.7D+00  5.997D+00 -2.650D+02
  238  247     0     0  con    0  1.0D+00  7.0D+00  8.012D+00 -2.716D+02
  239  248     0     0  con    0  1.0D+00  4.1D-01  4.080D+00 -2.771D+02
  240  249     0     0  con    0  1.0D+00  2.9D-01  2.859D+00 -2.800D+02
  241  250     0     0  con    0  1.0D+00  8.9D-01  3.130D+00 -2.840D+02
  242  251     0     0  con    0  1.0D+00  3.8D+00  9.677D+00 -2.854D+02
  243  252     0     0  con    0  1.0D+00  2.3D-01  1.945D+00 -2.901D+02
  244  253     0     0  con    0  1.0D+00  7.5D-01  9.426D-01 -2.916D+02
  245  254     0     0  con    0  1.0D+00  1.3D+00  2.183D+00 -2.933D+02
  246  255     0     0  con    0  1.0D+00  1.9D+00  1.992D+00 -2.964D+02
  247  257     0     0  con    1  5.0D-01  2.1D+00  8.326D+00 -2.986D+02
  248  258     0     0  con    0  1.0D+00  1.6D+00  2.109D+00 -3.019D+02
  249  259     0     0  con    0  1.0D+00  5.6D-01  1.145D+00 -3.042D+02
  250  260     0     0  con    0  1.0D+00  7.6D-01  4.026D+00 -3.070D+02
  251  261     0     0  con    0  1.0D+00  8.1D-01  4.427D+00 -3.085D+02
  252  262     0     0  con    0  1.0D+00  1.8D-01  1.320D+00 -3.109D+02
  253  263     0     0  con    0  1.0D+00  1.9D-01  1.394D+00 -3.125D+02
  254  264     0     0  con    0  1.0D+00  3.0D-01  2.034D+00 -3.137D+02
  255  265     0     0  con    0  1.0D+00  9.2D-01  8.767D+00 -3.151D+02
  256  266     0     0  con    0  1.0D+00  4.3D-01  1.103D+00 -3.174D+02
  257  267     0     0  con    0  1.0D+00  2.3D-01  1.077D+00 -3.183D+02
  258  268     0     0  con    0  1.0D+00  3.4D-01  1.697D+00 -3.193D+02
  259  269     0     0  con    0  1.0D+00  6.0D-01  1.669D+00 -3.210D+02
  260  270     0     0  con    0  1.0D+00  1.3D+00  4.144D+00 -3.221D+02
  261  271     0     0  con    0  1.0D+00  1.0D-01  1.138D+00 -3.244D+02
  262  272     0     0  con    0  1.0D+00  1.9D-01  1.174D+00 -3.257D+02
  263  273     0     0  con    0  1.0D+00  4.6D-01  1.670D+00 -3.272D+02
  264  274     0     0  con    0  1.0D+00  1.2D+00  5.498D+00 -3.292D+02
  265  275     0     0  con    0  1.0D+00  8.2D-01  1.601D+00 -3.315D+02
  266  276     0     0  con    0  1.0D+00  2.6D-01  8.444D-01 -3.325D+02
  267  277     0     0  con    0  1.0D+00  4.8D-01  1.736D+00 -3.336D+02
  268  278     0     0  con    0  1.0D+00  7.5D-01  3.290D+00 -3.347D+02
  269  279     0     0  con    0  1.0D+00  5.3D-01  1.150D+00 -3.361D+02
  270  280     0     0  con    0  1.0D+00  5.6D-01  9.638D-01 -3.374D+02
  271  281     0     0  con    0  1.0D+00  7.1D-01  2.925D+00 -3.387D+02
  272  282     0     0  con    0  1.0D+00  1.2D+00  4.362D+00 -3.397D+02
  273  283     0     0  con    0  1.0D+00  1.1D-01  1.039D+00 -3.412D+02
  274  284     0     0  con    0  1.0D+00  2.8D-01  1.296D+00 -3.424D+02
  275  285     0     0  con    0  1.0D+00  5.2D-01  2.027D+00 -3.435D+02
  276  286     0     0  con    0  1.0D+00  1.5D+00  5.272D+00 -3.447D+02
  277  287     0     0  con    0  1.0D+00  5.8D-01  1.658D+00 -3.470D+02
  278  288     0     0  con    0  1.0D+00  3.8D-01  1.407D+00 -3.479D+02
  279  289     0     0  con    0  1.0D+00  5.3D-01  1.350D+00 -3.488D+02
