7112 3
1.5079 -0.344837 -2.36597
-1.5079 0.344837 -2.36597
1.50819 0.343567 -2.36597
-1.20895 0.964942 -2.36597
1.20977 0.963924 -2.36597
-0.670558 1.39393 -2.36597
0.671732 1.39336 -2.36597
0.000651516 1.54683 -2.36597
-0.359754 -1.59612 -2.08714
0.368405 -1.59415 -2.08714
-1.01666 -1.28197 -2.08714
1.0236 -1.27643 -2.08714
-1.4722 -0.7139 -2.08714
1.47605 -0.705905 -2.08714
-1.63616 -0.00443671 -2.08714
1.63616 0.00443671 -2.08714
-1.47605 0.705905 -2.08714
1.4722 0.7139 -2.08714
-1.0236 1.27643 -2.08714
1.01666 1.28197 -2.08714
-0.368405 1.59415 -2.08714
0.359754 1.59612 -2.08714
0.00252612 -1.71462 -1.82062
-0.74167 -1.54592 -1.82062
0.746222 -1.54372 -1.82062
-1.33897 -1.07102 -1.82062
1.34212 -1.06707 -1.82062
-1.67107 -0.384002 -1.82062
1.67219 -0.379076 -1.82062
-1.67219 0.379076 -1.82062
1.67107 0.384002 -1.82062
-1.34212 1.06707 -1.82062
1.33897 1.07102 -1.82062
-0.746222 1.54372 -1.82062
0.74167 1.54592 -1.82062
-0.00252612 1.71462 -1.82062
0.389316 -1.73923 -1.56334
-0.40386 -1.73591 -1.56334
1.10538 -1.39807 -1.56334
-1.11705 -1.38877 -1.56334
1.60252 -0.78001 -1.56334
-1.60899 -0.766569 -1.56334
1.78225 -0.00745936 -1.56334
-1.78225 0.00745936 -1.56334
1.60899 0.766569 -1.56334
-1.60252 0.78001 -1.56334
1.11705 1.38877 -1.56334
-1.10538 1.39807 -1.56334
0.40386 1.73591 -1.56334
-0.389316 1.73923 -1.56334
-0.0255283 -1.83922 -1.31305
0.775006 -1.66815 -1.31305
-0.821007 -1.646 -1.31305
1.42204 -1.16669 -1.31305
-1.45387 -1.12677 -1.31305
1.78742 -0.434153 -1.31305
-1.79878 -0.384376 -1.31305
1.79878 0.384376 -1.31305
-1.78742 0.434153 -1.31305
1.45387 1.12677 -1.31305
-1.42204 1.16669 -1.31305
0.821007 1.646 -1.31305
-0.775006 1.66815 -1.31305
0.0255283 1.83922 -1.31305
0.369874 -1.84975 -1.06804
-0.46933 -1.82705 -1.06804
1.13582 -1.50608 -1.06804
-1.21558 -1.44248 -1.06804
1.6768 -0.86412 -1.06804
-1.72107 -0.772208 -1.06804
1.88567 -0.0510072 -1.06804
-1.88567 0.0510072 -1.06804
1.72107 0.772208 -1.06804
-1.6768 0.86412 -1.06804
1.21558 1.44248 -1.06804
-1.13582 1.50608 -1.06804
0.46933 1.82705 -1.06804
-0.369874 1.84975 -1.06804
-0.0827785 -1.92173 -0.826981
0.759227 -1.76734 -0.826981
-0.908389 -1.6955 -0.826981
1.45086 -1.2629 -0.826981
-1.55408 -1.13346 -0.826981
1.85513 -0.508329 -0.826981
-1.89197 -0.346922 -0.826981
1.89197 0.346922 -0.826981
-1.85513 0.508329 -0.826981
1.55408 1.13346 -0.826981
-1.45086 1.2629 -0.826981
0.908389 1.6955 -0.826981
-0.759227 1.76734 -0.826981
0.0827785 1.92173 -0.826981
0.316914 -1.92521 -0.588781
-0.54979 -1.87206 -0.588781
1.12085 -1.59705 -0.588781
-1.3076 -1.44812 -0.588781
1.70279 -0.952578 -0.588781
-1.80643 -0.737368 -0.588781
1.94747 -0.119433 -0.588781
-1.94747 0.119433 -0.588781
1.80643 0.737368 -0.588781
-1.70279 0.952578 -0.588781
1.3076 1.44812 -0.588781
-1.12085 1.59705 -0.588781
0.54979 1.87206 -0.588781
-0.316914 1.92521 -0.588781
-0.159369 -1.96295 -0.35252
0.708106 -1.83771 -0.35252
-0.995279 -1.69941 -0.35252
1.43533 -1.34848 -0.35252
-1.63406 -1.09928 -0.35252
1.87827 -0.592171 -0.35252
-1.9492 -0.281425 -0.35252
1.9492 0.281425 -0.35252
-1.87827 0.592171 -0.35252
1.63406 1.09928 -0.35252
-1.43533 1.34848 -0.35252
0.995279 1.69941 -0.35252
-0.708106 1.83771 -0.35252
0.159369 1.96295 -0.35252
0.242153 -1.96364 -0.117384
-0.63382 -1.87425 -0.117384
1.07017 -1.66411 -0.117384
-1.38426 -1.41363 -0.117384
1.68622 -1.03499 -0.117384
-1.86053 -0.673034 -0.117384
1.96829 -0.20087 -0.117384
-1.96829 0.20087 -0.117384
1.86053 0.673034 -0.117384
-1.68622 1.03499 -0.117384
1.38426 1.41363 -0.117384
-1.07017 1.66411 -0.117384
0.63382 1.87425 -0.117384
-0.242153 1.96364 -0.117384
-0.242153 -1.96364 0.117384
0.63382 -1.87425 0.117384
-1.07017 -1.66411 0.117384
1.38426 -1.41363 0.117384
-1.68622 -1.03499 0.117384
1.86053 -0.673034 0.117384
-1.96829 -0.20087 0.117384
1.96829 0.20087 0.117384
-1.86053 0.673034 0.117384
1.68622 1.03499 0.117384
-1.38426 1.41363 0.117384
1.07017 1.66411 0.117384
-0.63382 1.87425 0.117384
0.242153 1.96364 0.117384
0.159369 -1.96295 0.35252
-0.708106 -1.83771 0.35252
0.995279 -1.69941 0.35252
-1.43533 -1.34848 0.35252
1.63406 -1.09928 0.35252
-1.87827 -0.592171 0.35252
1.9492 -0.281425 0.35252
-1.9492 0.281425 0.35252
1.87827 0.592171 0.35252
-1.63406 1.09928 0.35252
1.43533 1.34848 0.35252
-0.995279 1.69941 0.35252
0.708106 1.83771 0.35252
-0.159369 1.96295 0.35252
-0.316914 -1.92521 0.588781
0.54979 -1.87206 0.588781
-1.12085 -1.59705 0.588781
1.3076 -1.44812 0.588781
-1.70279 -0.952578 0.588781
1.80643 -0.737368 0.588781
-1.94747 -0.119433 0.588781
1.94747 0.119433 0.588781
