3280 3
-0.820589 -1.68937 -1.97573
1.68937 -0.820589 -1.97573
-1.77481 -0.614321 -1.97573
1.77481 0.614321 -1.97573
-1.68937 0.820589 -1.97573
0.820589 1.68937 -1.97573
-0.614321 1.77481 -1.97573
-0.497714 -1.85474 -1.9104
0.959564 -1.66344 -1.9104
-1.66344 -0.959564 -1.9104
1.85474 -0.497714 -1.9104
-1.85474 0.497714 -1.9104
1.66344 0.959564 -1.9104
-0.959564 1.66344 -1.9104
0.497714 1.85474 -1.9104
-0.148815 -1.95467 -1.84569
1.27694 -1.48739 -1.84569
-1.48739 -1.27694 -1.84569
1.95467 -0.148815 -1.84569
-1.95467 0.148815 -1.84569
1.48739 1.27694 -1.84569
-1.27694 1.48739 -1.84569
0.148815 1.95467 -1.84569
0.189059 -2.00064 -1.76277
-1.28098 -1.54835 -1.76277
1.54835 -1.28098 -1.76277
-2.00064 -0.189059 -1.76277
2.00064 0.189059 -1.76277
-1.54835 1.28098 -1.76277
1.28098 1.54835 -1.76277
-0.189059 2.00064 -1.76277
0.529802 -1.96017 -1.72601
-1.01142 -1.76068 -1.72601
1.76068 -1.01142 -1.72601
-1.96017 -0.529802 -1.72601
1.96017 0.529802 -1.72601
-1.76068 1.01142 -1.72601
1.01142 1.76068 -1.72601
-0.529802 1.96017 -1.72601
-0.697611 -1.94397 -1.66266
0.88131 -1.86788 -1.66266
-1.86788 -0.88131 -1.66266
1.94397 -0.697611 -1.66266
-1.94397 0.697611 -1.66266
1.86788 0.88131 -1.66266
-0.88131 1.86788 -1.66266
0.697611 1.94397 -1.66266
-0.355818 -2.06796 -1.59971
1.21067 -1.71387 -1.59971
-1.71387 -1.21067 -1.59971
2.06796 -0.355818 -1.59971
-2.06796 0.355818 -1.59971
1.71387 1.21067 -1.59971
-1.21067 1.71387 -1.59971
0.355818 2.06796 -1.59971
0.00264274 -2.12958 -1.53712
-1.50397 -1.50771 -1.53712
1.50771 -1.50397 -1.53712
-2.12958 -0.00264274 -1.53712
2.12958 0.00264274 -1.53712
-1.50771 1.50397 -1.53712
1.50397 1.50771 -1.53712
-0.00264274 2.12958 -1.53712
0.366465 -2.12782 -1.47486
-1.24547 -1.76373 -1.47486
1.76373 -1.24547 -1.47486
-2.12782 -0.366465 -1.47486
2.12782 0.366465 -1.47486
-1.76373 1.24547 -1.47486
1.24547 1.76373 -1.47486
-0.366465 2.12782 -1.47486
0.724662 -2.06357 -1.41289
-0.946752 -1.97158 -1.41289
1.97158 -0.946752 -1.41289
-2.06357 -0.724662 -1.41289
2.06357 0.724662 -1.41289
-1.97158 0.946752 -1.41289
0.946752 1.97158 -1.41289
-0.724662 2.06357 -1.41289
-0.617057 -2.1258 -1.35119
1.06684 -1.93949 -1.35119
-1.93949 -1.06684 -1.35119
2.1258 -0.617057 -1.35119
-2.1258 0.617057 -1.35119
1.93949 1.06684 -1.35119
-1.06684 1.93949 -1.35119
0.617057 2.1258 -1.35119
-0.266134 -2.22263 -1.28974
1.38345 -1.75982 -1.28974
-1.75982 -1.38345 -1.28974
2.22263 -0.266134 -1.28974
-2.22263 0.266134 -1.28974
1.75982 1.38345 -1.28974
-1.38345 1.75982 -1.28974
0.266134 2.22263 -1.28974
0.0960216 -2.26001 -1.22851
-1.53017 -1.66596 -1.22851
1.66596 -1.53017 -1.22851
-2.26001 -0.0960216 -1.22851
2.26001 0.0960216 -1.22851
-1.66596 1.53017 -1.22851
1.53017 1.66596 -1.22851
-0.0960216 2.26001 -1.22851
0.459439 -2.23753 -1.16748
-1.2573 -1.90705 -1.16748
1.90705 -1.2573 -1.16748
-2.23753 -0.459439 -1.16748
