1920 3
-0.231293 0.963405 -0.284859
0.231293 0.963405 -0.284859
-0.231293 0.963405 -0.556929
-0.0777357 0.987726 -0.0127888
-0.231293 0.963405 -0.0127888
-0.15499 0.978568 0.123246
-0.306164 0.942275 -0.148824
-0.379155 0.915362 -0.0127888
0.0777357 0.987726 -0.0127888
-0.379155 0.915362 -0.284859
-0.231293 0.963405 0.259281
-0.379155 0.915362 0.259281
-0.306164 0.942275 0.395316
-0.449798 0.882779 0.123246
-0.517681 0.844779 0.259281
-0.0777357 0.987726 0.259281
-0.517681 0.844779 -0.0127888
-0.379155 0.915362 0.531351
-0.517681 0.844779 0.531351
-0.449798 0.882779 0.667386
-0.582358 0.801547 0.395316
-0.64346 0.753395 0.531351
-0.231293 0.963405 0.531351
-0.64346 0.753395 0.259281
-0.582358 0.801547 0.939456
-0.517681 0.844779 0.803421
-0.64346 0.753395 0.803421
-0.700578 0.700578 0.667386
-0.753395 0.64346 0.803421
-0.379155 0.915362 0.803421
-0.753395 0.64346 0.531351
-0.753395 0.64346 1.07549
-0.700578 0.700578 1.21153
-0.64346 0.753395 1.07549
-0.844779 0.517681 1.07549
-0.801547 0.582358 0.939456
-0.517681 0.844779 1.07549
-0.844779 0.517681 0.803421
-0.753395 0.64346 1.34756
-0.844779 0.517681 1.34756
-0.801547 0.582358 1.4836
-0.882779 0.449798 1.21153
-0.915362 0.379155 1.34756
-0.64346 0.753395 1.34756
-0.915362 0.379155 1.07549
-0.844779 0.517681 1.61963
-0.915362 0.379155 1.61963
-0.882779 0.449798 1.75567
-0.942275 0.306164 1.4836
-0.963405 0.231293 1.61963
-0.753395 0.64346 1.61963
-0.963405 0.231293 1.34756
-0.915362 0.379155 1.8917
-0.963405 0.231293 1.8917
-0.942275 0.306164 2.02774
-0.978568 0.15499 1.75567
-0.987726 0.0777357 1.8917
-0.844779 0.517681 1.8917
-0.987726 0.0777357 1.61963
-0.963405 0.231293 2.16377
-0.987726 0.0777357 2.16377
-0.978568 0.15499 2.29981
-0.990766 -5.55111e-17 2.02774
-0.987726 -0.0777357 2.16377
-0.915362 0.379155 2.16377
-0.987726 -0.0777357 1.8917
-0.987726 0.0777357 2.43584
-0.987726 -0.0777357 2.43584
-0.990766 -2.4895e-17 2.57188
-0.978568 -0.15499 2.29981
-0.963405 -0.231293 2.43584
-0.963405 0.231293 2.43584
-0.963405 -0.231293 2.16377
-0.987726 -0.0777357 2.70791
-0.963405 -0.231293 2.70791
-0.978568 -0.15499 2.84395
-0.942275 -0.306164 2.57188
-0.915362 -0.379155 2.70791
-0.987726 0.0777357 2.70791
-0.915362 -0.379155 2.43584
-0.942275 -0.306164 3.11602
-0.963405 -0.231293 2.97998
-0.915362 -0.379155 2.97998
-0.882779 -0.449798 2.84395
-0.844779 -0.517681 2.97998
-0.987726 -0.0777357 2.97998
-0.844779 -0.517681 2.70791
-0.844779 -0.517681 3.25205
-0.915362 -0.379155 3.25205
-0.753395 -0.64346 3.25205
-0.801547 -0.582358 3.11602
