30720 3
-0.912721 0.378061 2.16377
-0.984876 -0.0775114 1.8917
-0.984876 0.0775114 2.43584
-0.984876 -0.0775114 2.43584
-0.987916 -9.72461e-18 2.57188
-0.975753 -0.154544 2.29981
-0.960625 -0.230626 2.43584
-0.960625 0.230626 2.43584
-0.960625 -0.230626 2.16377
-0.984876 -0.0775114 2.70791
-0.960625 -0.230626 2.70791
-0.975753 -0.154544 2.84395
-0.939564 -0.305283 2.57188
-0.912721 -0.378061 2.70791
-0.984876 0.0775114 2.70791
-0.912721 -0.378061 2.43584
-0.939564 -0.305283 3.11602
-0.960625 -0.230626 2.97998
-0.912721 -0.378061 2.97998
-0.88024 -0.448504 2.84395
-0.842341 -0.516187 2.97998
-0.984876 -0.0775114 2.97998
-0.842341 -0.516187 2.70791
-0.841935 -0.515939 3.25205
-0.91228 -0.377879 3.25205
-0.750859 -0.641294 3.25205
-0.799241 -0.580683 3.11602
-0.960162 -0.230515 3.25205
-0.751221 -0.641603 2.97998
-0.641294 -0.750859 3.25205
0.91228 -0.377879 -3.00556
0.939564 -0.305283 -2.86952
0.876672 -0.446686 -3.14159
0.841935 -0.515939 -3.00556
0.960625 -0.230626 -2.73349
0.975753 -0.154544 -2.59745
0.912721 -0.378061 -2.73349
0.984876 -0.0775114 -2.46142
0.987916 8.13152e-18 -2.32538
0.960625 -0.230626 -2.46142
0.984876 0.0775114 -2.18935
0.975753 0.154544 -2.05331
0.984876 -0.0775114 -2.18935
0.960625 0.230626 -1.91728
0.939564 0.305283 -1.78124
0.984876 0.0775114 -1.91728
0.88024 0.448504 -1.50917
0.912721 0.378061 -1.64521
0.960625 0.230626 -1.64521
0.799241 0.580683 -1.2371
0.842341 0.516187 -1.37314
0.912721 0.378061 -1.37314
0.751221 0.641603 -1.10107
0.698562 0.698562 -0.965033
0.842341 0.516187 -1.10107
0.641603 0.751221 -0.828998
0.580683 0.799241 -0.692964
0.751221 0.641603 -0.828998
0.516187 0.842341 -0.556929
0.448504 0.88024 -0.420894
0.641603 0.751221 -0.556929
0.378061 0.912721 -0.284859
0.305283 0.939564 -0.148824
